Facility Id,Facility Name,Facility Type,Bed Capacity,Region,Licence Issue Date,Inspection Date,Gps Location,Remarks
HF-000042,Malone-and-Sons Hospital,Community Health Center,10,,2018-09-23,2025-05-30,"125513.0, 59533.0",Reinspection due
HF-000043,Reynolds-Wheeler Polyclinic,Polyclinic,221,,2022-12-10,2023-09-04,"-58.73325, 12.71159",
HF-000044,"Anderson, Sanchez and Davis Health Centre",Community Health Center,184,,2018-10-13,2020-07-13,,
HF-000046,"Holmes, Richard and Lane",Community Health Center,0,,2016-09-20,2021-04-10,"-59.10714, 13.17389",
HF-000047,Burns-Jordan Clinic,Hospital,383,,2018-02-17,2018-05-06,"-59.20641, 12.91158",
HF-000048,Simmons-Washington,,455,,2018-09-13,2022-12-19,,Follow-up 2023
HF-000049,Wood-Wells Health Centre,,3,St. Michael,2021-07-16,2024-07-30,"-59.00011, 13.19821",
HF-000050,"Blackwell, Jones and Davis Hospital",Community Health Center,468,St. Lucy,2017-07-04,2020-09-28,,
HF-000051,"Collins, White and Morgan Medical Center",Community Health Center,191,St. Michael,2021-01-22,2025-05-27,,
HF-000052,Hunt and Sons Health Centre,Community Health Center,449,,2020-03-28,2020-11-22,"-58.78346, 13.2889",
HF-000053,Carson-Martin Polyclinic,Polyclinic,0,,2022-03-24,2023-05-29,"125256.0, 59554.0",
HF-000054,"Lopez, Carter and Barr",Hospital,399,,2021-12-02,2022-09-28,"125717.0, 5985.0",Needs upgrade
HF-000055,Erickson-Newton Polyclinic,Community Health Center,148,St. John,2020-10-14,2023-12-03,"13.20469, -59.22531",
HF-000056,Davis and Sons Medical Center,Polyclinic,0,,2016-04-23,2023-11-04,"131354.0, 59353.0",Follow-up 2023
HF-000057,Lee-Macias Polyclinic,Community Health Center,10,,2019-11-13,2024-08-15,"125344.0, 585913.0",Reinspection due
HF-000058,Smith-Powell,Community Health Center,231,St. Lucy,2019-08-17,2025-08-12,,
HF-000059,"Knight, Price and Perez Clinic",Community Health Center,140,,2020-11-11,2022-06-12,,
HF-000060,"Burton, Hess and Jackson",,185,,2019-10-16,2025-11-29,"125929.0, 584412.0",Good
HF-000062,Brown-Wilson,Community Health Center,27,,2019-03-13,2020-09-27,"131419.0, 59218.0",Reinspection due
HF-000063,"Knight, Jones and Johnson Health Centre",,197,St. Lucy,2019-03-24,2020-09-16,"-58.95739, 12.8316",
HF-000064,Blake Ltd Hospital,Community Health Center,0,,2016-03-25,2021-09-13,,Good
HF-000065,Novak-Novak Medical Center,,112,,2020-07-31,2023-03-19,"-58.82963, 12.78964",Good
HF-000066,Castro Inc Hospital,Community Health Center,366,,2023-10-24,2025-01-18,"-58.72978, 12.75617",Needs upgrade
HF-000067,"Newton,-Peters-and-Rivera",Community Health Center,392,,2023-05-06,2024-08-23,"-59.2211, 13.22506",
HF-000068,Phillips LLC Infirmary,Polyclinic,107,,2024-10-26,2025-01-26,"12.79265, -59.07888",Follow-up 2023
HF-000069,"Barr, Conley and Mendoza Clinic",Polyclinic,0,,2022-01-08,2024-08-16,"-58.87985, 13.17264",
HF-000070,Clark-and-Sons,Community Health Center,246,,2016-10-16,2019-07-31,"131543.0, 58453.0",Follow-up 2023
HF-000071,Day Medical Center,Community Health Center,0,,2019-04-24,2020-03-13,"-59.15107, 12.81329",
HF-000072,"Anderson,-Bailey-and-Chavez Medical Center",Community Health Center,0,,2018-11-22,2018-12-23,,Reinspection due
HF-000073,Cline-Williams Health Centre,,0,,2020-05-17,2025-10-31,"-58.88926, 13.00228",
HF-000074,"Woodward,-Baker-and-Lewis Hospital",Polyclinic,372,,2021-02-08,2025-06-20,"-59.22241, 12.71488",Needs upgrade
HF-000076,Smith-Carlson Clin,Polyclinic,39,,2017-04-22,2024-05-17,"13.27582, -58.86276",Reinspection due
HF-000077,Smith-Carlson Clinic,Polyclinic,39,,2017-04-22,2024-05-17,"13.27582, -58.86276",Reinspection due
HF-000078,Smith LLC Hospital,Polyclinic,0,,,2018-02-27,"-58.76307, 13.26561",
HF-000079,Owens and Sons Clinic,Polyclinic,417,,2023-12-04,2025-01-27,,Good
HF-000080,Gilbert Ltd Polyclinic,Community Health Center,243,,2024-11-29,2024-11-30,"-59.03056, 12.84193",Needs upgrade
HF-000081,Wagner LLC,,10,,2016-09-12,2023-07-24,"13.09928, -58.88444",
HF-000082,"Morgan, Kaiser and Cox",Community Health Center,0,,2019-10-14,2025-08-24,"-58.96292, 13.18421",
HF-000083,Petersen Ltd Polyclinic,Hospital,495,,2018-02-19,2022-11-08,,Needs upgrade
HF-000084,Yu Ltd Clinic,Community Health Center,122,,2018-05-09,2019-12-25,"-58.83828, 13.16799",Reinspection due
HF-000085,"Brown, Hurley and Simmons Hospital",Polyclinic,0,,2018-05-07,2020-11-30,,
HF-000086,"Rodriguez, Mayer and Hamilton",Polyclinic,474,,2024-02-27,2025-12-31,,
HF-000087,"Velazquez, Moore and Garcia",,358,,2017-01-28,2018-08-04,,
HF-000088,"Hardin, Farmer and Diaz Health Centre",Community Health Center,0,,2020-06-09,2022-04-09,,
HF-000089,"Blanchard, Johnson and Johnson",Community Health Center,269,,2020-01-19,2020-07-09,"1377.0, 591548.0",Follow-up 2023
HF-000091,Garcia-Taylor Clinic,Community Health Center,291,,2023-12-28,2025-10-19,"-59.11331, 13.1022",
HF-000092,"Weaver,-Davidson-and-Nunez Clinic",,290,,2020-04-17,2024-11-18,"-58.85421, 12.83607",Needs upgrade
HF-000093,Baker-Taylor Hospital,,0,,2018-04-02,2019-06-02,"-59.24115, 12.70994",
HF-000094,"Ortiz, Garrison and Warren Health Centre",Polyclinic,0,,2018-04-19,2019-03-27,,
HF-000095,Green-Arnold,Community Health Center,10,,2019-04-30,2022-12-23,"-59.28745, 12.89021",
HF-000096,"Rodriguez, Hanson and Franklin Clinic",Community Health Center,25,St. Andrew,2023-02-08,2023-06-16,"-58.78261, 12.73017",
HF-000097,"Allen, Riley and Kennedy",Hospital,0,,2022-10-31,2025-10-22,,Reinspection due
HF-000098,"Johnson, Holmes and Dunn",Community Health Center,10,,2018-03-10,2023-02-13,"12448.0, 591711.0",Follow-up 2023
HF-000099,"Frye, Miller and Ponce",Polyclinic,21,,2021-07-25,2021-09-13,"-59.02925, 12.98154",Reinspection due
HF-000100,Lowe-Morris Health Centre,Community Health Center,408,St. John,2017-04-01,2025-11-23,,
HF-000101,Rodriguez-Roberts Clinic,Polyclinic,176,,2020-09-30,2024-07-23,,Reinspection due
HF-000102,"Cook, Harvey and Fleming Medical Center",Polyclinic,87,,2023-03-08,2025-11-09,"13.04966, -58.95858",Follow-up 2023
HF-000103,Cox Group Infirmary,,499,,2023-12-02,2024-08-05,,Good
HF-000104,"Adams,-Silva-and-Davidson Medical Center",,99,,2021-09-03,2025-11-12,"-59.06883, 13.11901",
HF-000105,Schultz-Taylor Clinic,Community Health Center,370,,2017-04-15,2025-08-29,"13.2295, -59.10692",
HF-000106,"Aguilar, Simon and West Hospital.",Community Health Center,0,,2020-12-15,2021-04-24,"13.02004, -58.79046",
HF-000107,"Schroeder, Rodriguez and Rosales",Community Health Center,466,,2018-09-02,2020-08-10,"131738.0, 59029.0",
HF-000108,Jackson-Brewer,Community Health Center,168,,2021-11-01,2022-07-20,"124724.0, 585324.0",
HF-000109,"Garcia, Delacruz and Shelton Hospital",Polyclinic,0,,2020-04-20,2021-02-17,"-59.12327, 13.17954",Good
HF-000110,"Bell, Anderson and Adams",Community Health Center,10,,2019-05-15,2020-07-11,,
HF-000111,Smith-Spears,Community Health Center,50,,2019-06-15,2020-05-18,,Follow-up 2023
HF-000112,Hernandez-Smith,,10,,2019-09-04,2025-05-18,"-59.11396, 12.77021",
HF-000113,Morris-Jackson Hospital,Polyclinic,359,,2019-04-15,2021-04-20,"-58.89273, 12.71319",
HF-000114,Johnson Group Clin,Community Health Center,10,St. Michael,2021-06-25,2023-07-25,"-59.24123, 13.12849",
HF-000115,Bauer and Sons Polyclinic,Polyclinic,10,,2018-10-31,2024-03-03,"-58.76762, 13.13174",Needs upgrade
HF-000116,Lam-Leblanc,Polyclinic,0,,2019-02-09,2020-11-11,,
HF-000117,Johnson Group Clinic,Community Health Center,10,St. Michael,2021-06-25,2023-07-25,"-59.24123, 13.12849",
HF-000118,"Bentley, Scott and Graves Clinic",,0,,2019-10-30,2019-12-22,"13.24629, -58.98848",
HF-000119,"Sanchez,-Sims-and-Bailey Clinic",Hospital,0,St. Andrew,2019-11-25,2022-02-12,"-58.82362, 12.92342",
HF-000120,Wilson-Craig Infirmary,Polyclinic,0,,2017-11-18,2024-03-09,"13.25302, -59.03023",
HF-000122,Blair-Gutierrez Medical Center,Community Health Center,500,,2018-11-21,2019-07-30,,
HF-000123,Williams-Marsh,Community Health Center,0,,2021-05-22,2022-07-17,"-59.00166, 12.91403",
HF-000124,Brown-Case,Hospital,465,,2016-06-25,2023-05-22,"-59.28159, 13.07612",Good
HF-000125,Green-Schultz Polyclinic,Polyclinic,385,,2016-11-21,2022-03-12,"-58.74124, 12.82233",Follow-up 2023
HF-000126,"Price, Andrews and Scott Medical Center",Community Health Center,0,,2019-11-06,2023-07-22,,
HF-000127,Lawson Ltd,,0,,2017-04-18,2024-07-20,"131611.0, 591314.0",
HF-000128,Brown Ltd Health Centre,Community Health Center,0,,2023-03-04,2023-06-02,"-58.78814, 13.1012",
HF-000129,Reed-,Polyclinic,416,Christ Church,2018-02-14,2018-09-13,"-58.87816, 12.87067",
HF-000130,Cook-Dean,Polyclinic,42,,2020-07-22,2024-04-04,,
HF-000131,Hawkins Ltd Infirmary,Polyclinic,0,,2021-01-03,2025-07-29,"-58.71902, 13.13683",Good
HF-000132,Rodriguez-Inc Medical Center,Hospital,273,,2018-01-22,2024-07-16,"-59.21756, 12.81057",Follow-up 2023
HF-000133,Williams Ltd Hospital,Hospital,406,,2020-04-23,2024-04-03,,Needs upgrade
HF-000134,Daugherty Group Hospital,Polyclinic,350,,,2019-07-17,"12.86844, -58.98641",
HF-000135,Cannon-Kerr Clinic,Polyclinic,54,,2022-11-22,2023-06-26,,
HF-000136,Trevino Polyclinic,Community Health Center,439,,2021-12-21,2024-03-18,"-58.75617, 13.16087",Good
HF-000137,"Marsh, Jordan and Kim Health Centre",Community Health Center,0,,2019-07-11,2021-11-06,,
HF-000138,Johnson Ltd Hospital,Community Health Center,295,St. John,2017-01-20,2024-07-29,"125833.0, 585632.0",
HF-000139,Hudson-Parker,Polyclinic,0,St. Peter,2018-01-16,2019-09-10,"-59.03701, 13.09319",
HF-000140,Walsh Inc Health Centre,Polyclinic,60,,2017-12-08,2023-04-12,"-58.87957, 12.89267",Good
HF-000141,Harvey Clin,,0,,2021-08-21,2022-05-20,,Needs upgrade
HF-000142,Harvey Clinic,,0,,2021-08-21,2022-05-20,,Needs upgrade
HF-000143,Martin-Wall,Community Health Center,0,,2018-11-03,2025-06-28,"-58.73566, 12.88891",Reinspection due
HF-000144,Spencer LLC,Hospital,290,,2019-06-27,2020-10-20,"131255.0, 584358.0",
HF-000145,Doyle Ltd Polyclinic,,284,,2016-04-28,2024-04-02,"-59.2413, 13.14391",
HF-000146,Jones Group Hospital,Polyclinic,75,,2020-12-30,2022-11-03,"13.29409, -58.72088",Good
HF-000147,Chapman,Community Health Center,375,,2018-01-05,2025-02-11,"-59.15735, 12.70734",Good
HF-000148,"Atkins, Romero and Davis Health Centre",Hospital,302,,2018-03-30,2022-04-25,"-59.0511, 12.86689",
HF-000149,"Wilson, Brock and Silva Infirmary",Polyclinic,213,St. Joseph,2022-08-30,2024-01-03,,
HF-000150,Lewis Inc Hospital,Community Health Center,329,,2018-12-19,2019-01-01,"13112.0, 59136.0",Reinspection due
HF-000151,Taylor-Turner Health Centre,Community Health Center,424,,2017-11-18,2021-02-09,"-58.77812, 13.24369",Needs upgrade
HF-000152,Schneider-Tate,Polyclinic,461,St. George,2018-01-10,2018-06-21,,
HF-000153,Callahan LLC,,130,,2021-05-11,2023-09-28,,
HF-000154,Cantrell LLC,Community Health Center,10,,2017-12-28,2022-02-26,"124432.0, 585111.0",
HF-000155,"Hinton, Jones and Christian",Polyclinic,10,,2018-04-19,2021-05-19,"-58.73053, 13.03924",Needs upgrade
HF-000156,Kennedy-Arnold Infirmary,Community Health Center,123,St. Joseph,2018-11-09,2025-08-24,,Follow-up 2023
HF-000157,"Grimes, Wilson and Harvey Health Centre",,353,,2021-09-19,2024-04-13,,Good
HF-000158,"Oconnell, Turner and Perez Polyclinic",Community Health Center,180,,2017-11-12,2021-09-02,,Needs upgrade
HF-000159,"Warner, Poole and Garcia Health Centre",Polyclinic,174,,2019-06-17,2019-11-12,"12.94397, -58.94804",
HF-000160,Medina-Walker Clinic,Polyclinic,156,,2021-09-18,2023-03-07,"-58.89441, 12.95992",Reinspection due
HF-000161,Nguyen-Poole Health Centre,Polyclinic,387,,2017-01-06,2022-03-23,,Good
HF-000162,Kennedy-Byrd,Community Health Center,10,,2017-06-26,2023-06-02,"-58.94416, 12.96993",Follow-up 2023
HF-000163,Ramsey-Nguyen,Polyclinic,0,,2018-07-17,2019-06-25,,Reinspection due
HF-000164,Pierce and Sons Polyclinic,Polyclinic,10,,2020-06-01,2024-11-24,"-59.15415, 13.04323",Reinspection due
HF-000165,Williams-Sparks Health Centre,Polyclinic,288,,2020-04-12,2025-12-31,"12.91923, -58.78634",Good
HF-000166,Contreras-Moreno Hospital,Community Health Center,99,,2016-08-28,2024-11-24,"-58.9958, 13.11947",
HF-000167,Klein Medical Center,Hospital,10,,2017-02-28,2023-08-16,,
HF-000168,Sanders-Massey,Polyclinic,207,,2020-12-20,2024-03-13,"-59.21797, 13.03571",
HF-000169,Campbell LLC Clinic,Community Health Center,0,,2021-11-22,2023-02-21,"125350.0, 584611.0",Reinspection due
HF-000170,Shepard-,Polyclinic,0,St. Joseph,2016-06-19,2023-04-08,"1330.0, 58489.0",
HF-000171,Russell LLC Medical Center,Community Health Center,240,,2018-01-15,2025-12-12,"13163.0, 591231.0",
HF-000172,"Bean, Colon and Baird Infirmary",Polyclinic,0,,2024-03-22,2024-07-03,"131637.0, 585222.0",
HF-000173,Aguilar-Williams Infirmary,Polyclinic,212,,2018-12-21,2021-03-17,"-59.19897, 12.84201",Reinspection due
HF-000174,"Washington, Larson and Anderson",,413,,2018-08-16,2023-01-26,"-59.01271, 13.15721",
HF-000175,Austin-Romero Medical Center,,0,,2021-06-02,2025-04-16,"-58.98349, 12.76806",
HF-000177,Turner-and-Sons,Polyclinic,226,,2023-03-28,2025-07-30,"131517.0, 585140.0",Good
HF-000178,Sanders-Ltd Health Centre,Community Health Center,0,,2019-09-16,2022-03-10,,
HF-000179,Moses LLC Hospital,,0,,2019-09-24,2021-11-11,"12.92376, -58.77587",
HF-000180,Thomas-Rogers Clinic,,308,,2021-01-30,2022-07-10,"-58.91888, 13.24203",Good
HF-000181,Thomas-Rogers Clin.,,308,,2021-01-30,2022-07-10,"-58.91888, 13.24203",Good
HF-000182,"Ryan, Ward and Hernandez",Hospital,10,,2020-05-30,2021-01-08,,
HF-000183,Gray Infirmary,Hospital,292,,2020-12-04,2021-11-07,,
HF-000184,Thompson-Macias Hospital,,47,,2016-05-04,2021-11-03,,
HF-000185,Dyer Hospital.,,140,,2019-04-09,2023-11-01,"12.75228, -59.02874",
HF-000186,"Bradley,-Galloway-and-Jones Hospital",Hospital,273,,2016-03-31,2024-08-17,"12.71221, -59.12622",
HF-000187,Mcdonald and Sons Clinic,Polyclinic,353,,2022-09-09,2023-07-18,,
HF-000188,Stevens-Dean Health Centre,Community Health Center,97,,2022-01-19,2023-11-27,"-58.7868, 12.76131",Good
HF-000189,Jackson-Pierce Health Centre,Polyclinic,0,,2020-01-22,2022-10-13,"13.23547, -58.72577",
HF-000190,"Webb,-King-and-Logan",Polyclinic,223,,2017-12-05,2018-03-19,"12.73912, -59.05921",Reinspection due
HF-000191,Taylor-Welch,Polyclinic,0,,2022-03-03,2024-01-09,"131117.0, 591359.0",
HF-000192,Frost Ltd Hospital,Hospital,394,,2018-02-03,2024-03-25,"-58.87221, 12.83755",Reinspection due
HF-000193,Watts-Blevins Hospital,Hospital,10,,2020-03-30,2023-10-09,,Follow-up 2023
HF-000194,Luna LLC Health Centre,Community Health Center,0,St. Michael,2024-02-02,2025-01-22,"12.99003, -59.21087",
HF-000195,Golden-Group,Polyclinic,10,,2021-09-18,2025-01-28,,Reinspection due
HF-000196,Salazar LLC,Community Health Center,0,St. Joseph,2019-02-22,2025-11-30,,
HF-000197,Walker-Mann Health Centre,Polyclinic,0,,2018-11-27,2019-10-18,"-58.79131, 12.73497",
HF-000198,Mccarty-Atkins Infirmary,Hospital,100,,2022-02-12,2024-08-11,,
HF-000199,Schwartz-Sanchez,Community Health Center,0,,2018-05-08,2021-01-14,"-58.98034, 13.11002",
HF-000200,Stevenson-Powell Hospital,,300,,2018-05-10,2021-05-09,"-59.27002, 13.1121",
HF-000201,Jones Medical Center,,0,,2016-07-15,2021-09-29,,Reinspection due
HF-000202,Salazar-Wilson Clinic,Community Health Center,191,St. Andrew,2018-05-20,2023-12-02,,
HF-000203,Cunningham-Myers,Community Health Center,385,,2019-03-06,2023-03-13,"13157.0, 585843.0",Follow-up 2023
HF-000204,George-Ortiz Health Centre,Polyclinic,309,St. Joseph,2019-12-13,2023-03-18,"13.21414, -59.06864",
HF-000205,Ray and Sons Infirmary,Community Health Center,138,,2017-09-18,2022-05-27,,
HF-000206,"Anderson, Copeland and Torres Polyclinic",Hospital,10,,2022-07-03,2023-08-25,"12593.0, 59255.0",
HF-000207,Hamilton Health Centre,Hospital,0,,2022-08-11,2024-11-22,"-58.88559, 13.15279",
HF-000208,"Garcia, Collins and Mcintyre",Polyclinic,103,St. Joseph,2022-11-23,2024-12-20,"-59.29963, 12.84405",
HF-000209,Wong- Hospital,Community Health Center,351,,2018-02-24,2020-11-01,"125731.0, 59138.0",
HF-000210,Parsons Medical Center,Community Health Center,412,Christ Church,2018-12-14,2025-12-30,"-59.12966, 13.13049",
HF-000211,"Taylor, Robinson and Jones",,0,,2019-04-13,2023-11-26,,Good
HF-000212,"Torres,-Singh-and-Miller Hospital",Community Health Center,0,,2023-07-24,2025-07-07,"-59.25538, 12.88873",Good
HF-000213,Nelson-Long Hospital,Hospital,38,,2017-04-01,2018-05-21,,
HF-000214,Richards Hospital,Hospital,92,,2019-09-06,2020-11-26,"-59.16558, 13.23999",Good
HF-000215,Anderson-Stokes,Community Health Center,468,,2021-04-02,2025-07-13,"125625.0, 585448.0",
HF-000216,"Kirby, Thompson and Morgan Polyclinic",Polyclinic,398,,2016-10-23,2021-07-11,"124343.0, 584256.0",Needs upgrade
HF-000217,Whitney LLC Medical Center,Hospital,331,St. Lucy,2021-05-20,2025-11-20,"124931.0, 59241.0",
HF-000218,"Lyons,-Nichols-and-Jones Polyclinic",Community Health Center,384,,2020-04-07,2021-08-10,"-58.96159, 13.13217",
HF-000219,"Wright,-Hernandez-and-Conner Clinic",Community Health Center,64,,2020-03-08,2025-05-24,"125041.0, 584447.0",
HF-000220,Thompson-Riley Polyclinic,,266,,2018-01-29,2023-01-12,"-58.74688, 12.90892",Needs upgrade
HF-000221,Mercado-Inc Health Centre,Polyclinic,10,St. Joseph,2016-06-14,2020-05-04,"12537.0, 59529.0",
HF-000222,Henderson Ltd Hospital,,0,,2016-09-20,2019-09-27,"-59.28952, 13.18085",Needs upgrade
HF-000223,Owen-,Community Health Center,325,,2019-02-15,2023-09-13,,
HF-000224,"Evans, Collins and Baker Health Centre",Polyclinic,0,,2022-01-05,2022-07-13,"-58.72072, 13.24824",
HF-000226,Bridges-Richardson,Community Health Center,386,,2022-01-16,2022-06-08,"13.04989, -59.27227",Follow-up 2023
HF-000227,Wiggins-Rivas Medical Center,Community Health Center,115,,2023-05-11,2025-03-05,"-58.82087, 13.26942",
HF-000228,Wang Ltd Infirmary,Polyclinic,488,,2020-04-06,2022-04-08,,Needs upgrade
HF-000229,Barnes-Mccarty,,246,St. James,2021-10-09,2023-02-04,,
HF-000230,"Castillo, Irwin and Gardner",Polyclinic,0,,2018-01-01,2023-04-12,,Follow-up 2023
HF-000231,Waters-Young,Hospital,374,,2021-08-09,2021-10-16,"131745.0, 59521.0",Reinspection due
HF-000232,Jimenez-Rodgers Hospital,Hospital,0,,2022-01-12,2023-07-19,,
HF-000233,Riley-Burgess,Polyclinic,230,,2020-09-07,2020-11-22,"-58.72936, 13.07754",
HF-000234,Chambers-Hickman,Polyclinic,322,St. John,2016-03-22,2024-07-09,,
HF-000235,"Peterson, Lyons and Chambers Medical Center",Community Health Center,176,,2021-09-24,2025-05-04,"-59.17734, 12.84045",
HF-000236,Carlson Inc Health Centre,Hospital,126,,2017-12-12,2019-08-08,"-58.90198, 12.8583",Follow-up 2023
HF-000237,Lindsey-Li,Polyclinic,0,,2019-03-23,2025-11-21,"13.19106, -58.83552",Reinspection due
HF-000238,Kim Inc Clinic,,0,,2017-04-09,2018-02-02,"-59.13231, 13.11191",Reinspection due
HF-000239,Foster-Armstrong Clinic,,0,,2024-03-21,2025-09-30,,Good
HF-000240,Best-Rodriguez Hospital,Hospital,364,,2024-05-03,2024-06-19,"13.01064, -59.07496",Good
HF-000241,"Mathews, Holland and Bradley Polyclinic",Hospital,452,,2018-08-05,2021-10-18,"131429.0, 591114.0",
HF-000243,White-Blevins Polyclinic,Polyclinic,222,,2021-12-11,2023-10-05,"-59.17663, 12.8404",
HF-000244,Elliott-Campbell,Polyclinic,177,,2020-03-02,2020-09-25,"-58.94335, 13.20348",
HF-000245,"Woods,-Murphy-and-Morris Medical Center",Community Health Center,104,,2017-04-22,2025-06-26,"-58.71421, 13.09885",
HF-000246,Romero-Copeland Infirmary,Community Health Center,452,,2019-08-21,2020-06-21,,Follow-up 2023
HF-000247,Davis-Salazar Medical Center,Polyclinic,176,,2024-01-18,2024-07-28,,
HF-000248,"Sandoval,-Bell-and-Tyler Hospital",Hospital,349,St. George,2019-04-02,2020-12-29,,Follow-up 2023
HF-000249,"Gonzalez, Wilson and Delgado Polyclinic",Polyclinic,49,,2022-04-30,2024-12-29,,Reinspection due
HF-000251,"Wagner, Grant and Charles Polyclinic",Community Health Center,0,,2017-11-28,2022-07-18,"125247.0, 585123.0",
HF-000252,Fields-Sloan Medical Center,Polyclinic,0,,2020-08-14,2021-07-30,,Needs upgrade
HF-000253,Johnson-Rice,,0,,2022-01-29,2024-10-30,"12.81877, -59.19876",Good
HF-000254,Daniels-Nicholson,Polyclinic,0,St. Joseph,2019-08-22,2021-12-28,"-59.14959, 13.17394",
HF-000255,Oliver-Ltd Infirmary,Community Health Center,0,St. Andrew,2018-11-20,2025-04-04,,
HF-000256,"Gonzalez, Reed and Smith Infirmary",Hospital,0,,2018-07-10,2022-06-09,,
HF-000257,Hoffman LLC Clinic,,90,,2017-09-07,2024-10-03,"-58.95, 12.79389",
HF-000258,"Webb, Bowers and Schneider Clinic",Polyclinic,0,,2016-01-02,2018-03-15,"13.12213, -59.05275",Needs upgrade
HF-000259,Green-Gill Polyclinic,Community Health Center,0,,2020-05-06,2022-05-24,,Follow-up 2023
HF-000260,"Webb, Bowers and Schneider Clin",Polyclinic,0,,2016-01-02,2018-03-15,"13.12213, -59.05275",Needs upgrade
HF-000261,Rivera Inc,Community Health Center,239,St. George,2021-08-13,2021-10-07,"124233.0, 59439.0",
HF-000262,"Williams, Schwartz and Bishop Hospital",,230,St. Andrew,2022-08-23,2024-04-10,"-59.27525, 12.94418",
HF-000263,"Foster,-Lang-and-Moore",Hospital,127,,2018-05-30,2020-01-05,"13179.0, 584430.0",
